id,age,age_group,race,dins,primary_crime,crime_class,min_years,min_months,max_years,max_months,severity,official_crime_type,decision
"1","40","40+","H","2","ATT MURDER-2","B","20","0","40","0","B1B1D2","VFO","NO"
"2","51","40+","W","3","CPW-3/NON-VFO","D","2","0","4","0","D1  ","CVO","NO"
"3","31","30-39","B","1","MURDER-2","A","15","0","99","99","A1","VFO","NO"
"4","23","<25","B","1","BURGLARY-3","D","1","0","3","0","D1  ","PDO","YES"
"5","32","30-39","O","1","LV ACCDNT DEATH","D","1","0","3","0","D1  ","PDO","NO"
"6","34","30-39","H","1","MANSLAUGHTER-2","C","4","0","12","0","C1","CVO","NO"
"7","49","40+","B","1","VEH ASSAULT-1","D","2","4","7","0","D1","CVO","NO"
"8","45","40+","B","2","ROBBERY-3","D","3","6","7","0","D1","CVO","NO"
"9","63","40+","B","5","CSCS-3 >79","B","1","8","2","0","B1  ","PDO","NO"
"10","50","40+","W","1","CPW-2 >78","C","4","3","5","0","C1D1 ","VFO","NO"
"11","50","40+","B","1","SODOMY-1","B","25","0","50","0","B1B1B3","VFO","NO"
"12","21","<25","W","1","CRIM CONTEMPT-1","E","1","0","3","0","E1","PDO","NO"
"13","37","30-39","H","2","ATT CPCS-3 >79","C","1","6","13","0","C1C1D1","PDO","NO"
"14","42","40+","W","6","BURGLARY-3","D","3","0","6","0","D1E1","PDO","NO"
"15","55","40+","B","2","ATT ROBBERY-2 >78","D","12","0","99","99","D1D1","VFO","NO"
"16","69","40+","B","1","ROBBERY-1 >78","B","25","0","50","0","B1B2B1","VFO","NO"
"17","31","30-39","B","3","CRIM MISCHIEF-3","E","1","6","3","0","E1","PDO","NO"
"18","35","30-39","H","3","ATT BURGLARY-3","E","4","0","8","0","E2","PDO","NO"
"19","33","30-39","H","2","CSCS-3 >79","B","3","5","4","0","B4+B4+E2","PDO","YES"
"20","29","25-29","W","1","CONSPIRACY-2","B","3","0","6","0","B1  ","PDO","YES"
"21","48","40+","B","3","CPSP-4","E","2","0","4","0","E1  ","PDO","NO"
"22","32","30-39","O","1","MURDER-2","A","15","0","99","99","A1","VFO","NO"
"23","52","40+","H","3","GRD LRCNY AUTO4","E","1","6","3","0","E1","PDO","NO"
"24","32","30-39","W","2","ATT BURGLARY-2","D","7","4","8","4","D1D1E1","VFO","NO"
"25","51","40+","B","4","ATT CSCS-3 >79","C","2","11","3","6","C1E1","PDO","NO"
"26","44","40+","B","2","ATT ROBBERY-2 >78","D","4","3","5","0","D1  ","VFO","NO"
"27","34","30-39","W","1","AGGRAVATED DWI","E","1","0","3","0","E1","PDO","NO"
"28","38","30-39","B","4","CPCS-3 >79","B","2","11","3","6","B1  ","PDO","NO"
"29","67","40+","W","1","RAPE-1 >78","B","20","0","40","0","B1B1C1","VFO","NO"
"30","44","40+","B","3","ROBBERY-3","D","2","0","4","0","D1E1 ","CVO","YES"
"31","53","40+","O","2","BURGLARY-3","D","3","6","7","0","D1E1","PDO","NO"
"32","27","25-29","B","1","CONSPIRACY-3","D","4","3","5","0","B1D1 ","PDO","NO"
"33","17","<25","H","1","ATT ROBBERY-3","E","1","0","3","0","E1","CVO","NO"
"34","43","40+","W","1","CRIM CONTEMPT-1","E","1","0","3","0","E1","PDO","NO"
"35","52","40+","W","3","BURGLARY-3","D","17","0","99","99","C1C1D1","PDO","YES"
"36","23","<25","H","2","ATT GRD LRCNY AUTO3","E","1","6","3","0","E1  ","PDO","NO"
"37","58","40+","H","1","AGGRAVATED DWI","E","1","0","3","0","E1","PDO","NO"
"38","27","25-29","W","1","AGG FAMILY OFF","E","1","6","3","0","E1  ","PDO","NO"
"39","46","40+","B","2","ROBBERY-1 >78","B","21","0","42","0","B1B1B1","VFO","YES"
"40","32","30-39","H","2","ATT ASSAULT-2","E","2","0","4","0","E1  ","VFO","YES"
